"","GSE45899_MGG4.GBM_vs_Human.embryonic.NSC"
"10069",1.2492
"1007",-0.2049
"10071",-6.0199
"10072",-7.34985
"10073",0.5404
"10075",0.8897
"10076",-1.367
"10077",-3.13365
"10078",-6.0672
"10079",-3.5428
"1008",1.0372
"10081",1.6679
"10082",16.8747
"100820829",-2.4645
"10083",-2.81455
"10084",1.7073
"100847062",-2.6341
"10085",3.75046666666667
"100852407",-1.2237
"100852408",-1.2635
"100852409",-2.2644
"100859921",-2.3793
"100859930",-1.3503
"10086",-2.339
"100861523",-2.6322
"100861541",-3.7427
"100861543",-4.6582
"100861544",-2.889
"100861545",0.1068
"100861546",-0.3751
"100861547",-0.0963
"100861548",2.8399
"100861552",3.2105
"100861553",-0.4414
"100861554",-3.3191
"100861555",-1.1347
"100861573",-3.0132
"100862662",-1.4244
"100862671",-2.89225
"100862679",-0.4527
"100862680",3.2529
"100862704",-1.53835
"10087",3.6915
"100873923",1.1353
"100873930",-2.4732
"100873942",-1.9428
"100873954",0.1407
"100873964",-1.6452
"100873979",-0.376
"100873985",-0.2548
"100874012",-2.4881
"100874014",-3.456
"100874018",1.529
"100874021",-3.657
"100874032",10.5395
"100874034",1.0289
"100874035",-2.0517
"100874038",0.4405
"100874051",-2.1797
"100874063",-2.3126
"100874068",-0.52355
"100874069",2.7713
"100874074",-0.3882
"100874107",0.3207
"100874110",-5.0403
"100874143",-0.955
"100874167",-1.9814
"100874178",-1.2861
"100874180",-2.0972
"100874182",-3.5806
"100874187",-0.6036
"100874194",-2.1167
"100874195",-1.4573
"100874198",-1.6431
"100874205",-0.831333333333333
"100874238",-0.7667
"100874239",-3.615
"100874241",-2.3615
"100874243",-1.7865
"100874251",-2.6406
"100874253",0.6448
"100874291",4.2285
"100874292",3.5449
"100874305",-2.3196
"100874309",0.2336
"100874314",-1.0134
"100874323",7.9096
"100874362",-4.3883
"100874375",0.1968
"100874433",-1.7925
"100885775",-0.582
"100885778",-3.1035
"100885781",0.9454
"100885798",-1.684
"100885848",0.096
"10089",-0.845533333333333
"1009",7.808125
"10090",3.0787
"10092",-0.439933333333334
"10093",-5.13605
"10094",-7.0078
"10095",-8.309
"10096",0.4672
"10097",-2.73982
"10098",1.78033333333333
"10099",2.9512
"100996246",-0.9787
"100996251",0.8512
"100996279",-1.7459
"100996280",-1.0123
"100996286",-3.4106
"100996295",-3.2877
"100996301",-2.4525
"100996307",0.3492
"100996342",-4.4677
"100996345",-2.2419
"100996385",1.0111
"100996425",-2.2345
"100996455",-1.6296
"100996485",-2.5372
"100996490",-0.84825
"100996492",2.80096666666667
"100996511",5.799
"100996539",7.6967
"100996570",-2.19123333333333
"100996579",-0.7784
"100996583",-2.689
"100996590",-1.2341
"100996597",-1.0225
"100996624",0.5569
"100996654",-1.5512
"100996671",-1.06
"100996694",-2.1854
"100996702",-2.1137
"100996740",0.5021
"100996902",-1.799
"101",-1.30985
"1010",0.0743
"10100",0.46015
"10101",-4.2374
"10102",2.46356666666667
"10103",-2.3038
"10105",-2.9645
"101055625",-2.7738
"101056700",-1.5597
"101059948",-3.2557
"10106",-2.18625
"101060004",-1.014
"101060019",-1.8481
"101060091",4.8713
"101060200",3.4257
"101060264",3.2976
"101060391",-3.5081
"101060544",2.4103
"101060691",1.85605
"10107",-1.62023333333333
"10109",-0.8038
"10110",-3.928
"10111",7.26043333333333
"10112",-3.4427
"10113",-1.1703
"10114",-2.5025
"10116",1.7295
"10117",-2.2921
"1012",10.0646
"10120",0.4192
"10121",-8.39325
"10123",-2.1981
"10124",3.0104
"101241892",9.4671
"10125",3.9927
"10126",-0.3756
"10127",4.0651
"10128",3.13363333333333
"10129",3.53836666666667
"1013",-1.90485
"10130",-3.5446
"10131",8.6496
"10133",-0.69
"10134",-0.8226
"10135",1.41336666666667
"10136",-2.2021
"10137",-2.0397
"10138",0.6507
"10139",-4.49745
"1014",-1.7238
"10140",7.6832
"10141",-0.6154
"101410533",0.513
"101410535",2.5702
"101410538",-3.537075
"10142",3.6634
"10143",-2.1175
"10144",4.749775
"10146",-2.48268
"10147",5.85666
"10148",-3.0919
"10149",-2.553
"1015",-3.1406
"10150",0.441666666666667
"10151",0.8348
"10152",-2.46788
"10153",5.1035
"10154",-1.94103333333333
"10155",-2.6114
"10157",6.4264
"10158",-4.0035
"10159",-0.39205
"101593348",-3.4662
"1016",-2.7437
"10160",1.5028
"10161",2.5164
"10162",-5.333
"10163",-0.9039
"10164",-3.6639
"10165",-0.79415
"10166",-1.86665
"101669764",-2.9119
"10169",2.0696
"1017",-4.6303
"10170",-2.67023333333333
"10171",3.50585
"10172",1.6757
"10174",-4.0219
"10175",2.2117
"101752400",3.5369
"10178",3.37455
"10179",0.96925
"10180",3.9313
"101805491",-3.90265
"10181",-0.99345
"10184",-3.7322
"10186",-15.1262
"10188",-1.23595
"10189",1.3055
"1019",-2.36
"10190",-0.8735
"101926888",2.1381
"101926890",0.0298
"101926903",1.0624
"101926906",-2.569
"101926915",-1.6147
"101926928",-0.0569
"101926942",-1.5335
"101926944",1.1143
"101926948",-2.3197
"101926951",-2.4326
"101926957",-2.2552
"101926962",-0.5938
"101926963",-0.367
"101926975",3.0786
"101926978",-3.5293
"101926987",-1.7968
"101926996",3.3105
"101927003",-0.1632
"101927007",-2.4937
"101927017",-2.539
"101927018",-1.4244
"101927020",0.7127
"101927021",-1.0627
"101927027",-1.71065
"101927034",0.6912
"101927038",-1.7717
"101927040",-0.3706
"101927043",-0.9003
"101927049",-0.68845
"101927051",-0.0393333333333332
"101927058",-1.7142
"101927059",-0.3282
"101927066",1.2014
"101927067",-0.2444
"101927069",-0.3615
"101927074",-0.7931
"101927075",-3.1339
"101927081",1.7664
"101927084",-2.5677
"101927096",-2.751
"101927111",-2.46503333333333
"101927112",-0.4758
"101927115",-0.021
"101927117",9.068
"101927123",-1.3418
"101927125",-2.0388
"101927129",-2.5096
"101927131",-4.1985
"101927138",-1.1882
"101927143",-3.4616
"101927150",0.6339
"101927152",-3.3352
"101927157",-2.5733
"101927159",-1.9006
"101927164",-0.6854
"101927165",-1.0022
"101927166",-1.2447
"101927167",-2.2434
"101927174",-6.2432
"101927176",-1.7848
"101927193",0.9057
"101927195",0.005
"101927196",6.7605
"101927204",3.47655
"101927211",0.0099
"101927219",-0.3689
"101927220",0.5255
"101927224",-1.1377
"101927228",-0.6096
"101927237",0.7174
"101927244",0.8448
"101927249",0.4413
"101927256",-1.0023
"101927257",1.6835
"101927272",1.5137
"101927273",-2.6276
"101927274",-0.9146
"101927275",2.2918
"101927279",2.4763
"101927282",-1.7705
"101927286",-3.203
"101927292",0.128
"101927295",-0.0876
"101927305",1.8897
"101927310",-0.7382
"101927314",-0.1967
"101927320",-1.2907
"101927331",-3.1349
"101927342",-2.7093
"101927348",-0.7601
"101927350",0.3605
"101927358",0.3865
"101927360",-1.1943
"101927362",-3.3054
"101927363",0.337
"101927377",-1.04
"101927379",-0.2144
"101927380",-0.5451
"101927396",-1.9377
"101927406",-1.7526
"101927410",-2.8452
"101927411",-0.9551
"101927416",-5.4453
"101927417",-0.0468
"101927422",-3.4738
"101927433",-2.0642
"101927438",-2.1078
"101927446",1.2904
"101927447",0.1317
"101927449",-1.7633
"101927450",-1.3089
"101927455",-1.42
"101927460",-2.0081
"101927482",2.607
"101927489",-1.6013
"101927494",-0.7327
"101927495",-2.3412
"101927498",-0.428
"101927503",-1.9323
"101927513",-3.147
"101927516",-1.7895
"101927523",-0.5644
"101927526",-2.684
"101927528",1.1321
"101927539",-2.9307
"101927543",0.5379
"101927547",3.9109
"101927550",1.9151
"101927553",-1.6003
"101927565",1.3078
"101927574",-2.1237
"101927581",-2.8209
"101927586",-2.7132
"101927587",0.2216
"101927588",-4.0475
"101927591",-1.337
"101927592",-3.0246
"101927597",7.0372
"101927599",3.3269
"101927604",-3.4321
"101927606",-4.0241
"101927612",6.395
"101927616",-0.9013
"101927623",-3.0656
"101927640",-1.5374
"101927641",-1.9325
"101927650",-0.7002
"101927651",-1.5114
"101927653",-0.9603
"101927657",0.1685
"101927659",-3.1391
"101927668",0.357
"101927682",-1.5917
"101927690",-1.4619
"101927701",-1.8231
"101927703",-4.4551
"101927704",-0.1786
"101927709",0.899
"101927715",-2.7614
"101927720",-2.7183
"101927722",-2.8438
"101927735",0.5311
"101927746",1.6686
"101927759",-1.3295
"101927761",-0.57465
"101927766",-2.7838
"101927768",-2.5176
"101927769",-1.6192
"101927770",1.2554
"101927774",0.57565
"101927787",-5.0911
"101927797",-0.9834
"101927798",-1.62355
"101927808",0.9706
"101927809",-2.1081
"101927813",-0.171
"101927814",-0.18505
"101927821",-1.4697
"101927828",-2.4773
"101927829",-0.0395
"101927839",-2.3761
"101927843",-1.5522
"101927849",-2.1988
"101927861",-0.0396
"101927869",-1.6422
"101927876",-0.1074
"101927877",-1.9206
"101927886",-1.3408
"101927889",-1.8583
"101927900",-1.6949
"101927901",-0.5783
"101927907",-0.8774
"101927914",-2.2675
"101927934",0.0578
"101927943",1.4625
"101927944",-1.671
"101927948",-2.1739
"101927950",-3.634
"101927953",2.1084
"101927978",1.5524
"101927988",2.9228
"101927990",-1.6787
"101927992",0.1897
"101928000",-0.6308
"101928001",0.88375
"101928002",-0.6778
"101928009",-1.1511
"101928012",0.3452
"101928020",-0.1134
"101928022",-2.2928
"101928031",-1.5966
"101928040",-2.4437
"101928043",-1.7129
"101928052",0.3987
"101928068",-1.289
"101928079",-1.6091
"101928087",-3.0936
"101928098",-1.3011
"101928099",-7.7169
"101928100",2.6419
"101928101",-2.1657
"101928104",-2.7283
"101928107",-2.5671
"101928111",1.8817
"101928120",-0.0977
"101928132",-2.7474
"101928134",-3.0837
"101928135",-2.4519
"101928140",0.9746
"101928144",-1.3344
"101928158",-3.9282
"101928160",-4.729
"101928162",-0.977
"101928165",-4.0705
"101928167",-0.2114
"101928185",-2.9017
"101928190",-1.7531
"101928191",1.4561
"101928200",-3.8401
"101928201",-1.4351
"101928205",-4.5164
"101928211",1.6605
"101928238",-0.6468
"101928243",-3.9874
"101928251",-2.5559
"101928259",0.8454
"101928269",-2.9308
"101928271",0.033
"101928273",-0.6829
"101928276",-0.404
"101928280",-2.0692
"101928283",-1.1387
"101928284",-0.1143
"101928288",-4.1982
"101928298",-1.374
"101928303",-1.6503
"101928306",-3.2739
"101928307",12.45875
"101928309",-0.7928
"101928314",0.28135
"101928324",-2.5902
"101928327",-2.9376
"101928333",-0.004
"101928335",-1.8513
"101928370",-0.3098
"101928371",-1.6007
"101928376",-2.7731
"101928378",-2.0018
"101928386",2.4214
"101928388",1.76985
"101928389",-1.1844
"101928399",-1.1664
"101928401",-0.5423
"101928403",5.0436
"101928405",-1.1826
"101928417",-2.1193
"101928418",1.0289
"101928420",-1.6303
"101928433",4.1736
"101928435",-4.9464
"101928443",-3.0767
"101928446",-4.1559
"101928449",-1.1192
"101928460",-0.8306
"101928461",-3.0722
"101928464",-0.4722
"101928475",-1.1557
"101928476",-2.0377
"101928478",-1.6282
"101928483",-2.4205
"101928491",2.1774
"101928495",0.3657
"101928496",-0.0701
"101928505",0.2896
"101928510",-1.22
"101928513",-2.966
"101928516",-1.1448
"101928519",-1.6044
"101928521",-0.2547
"101928525",-3.6783
"101928535",0.00805
"101928537",-2.5706
"101928539",-1.6388
"101928551",0.5802
"101928555",1.834
"101928557",-3.6801
"101928559",0.5121
"101928565",-1.8767
"101928571",-1.9106
"101928578",2.6178
"101928580",-2.8557
"101928583",-0.5193
"101928597",-2.1132
"101928602",-2.4337
"101928604",-0.6243
"101928605",-1.8982
"101928607",-4.6294
"101928612",0.2266
"101928614",-3.7801
"101928616",0.80425
"101928618",-0.0338
"101928622",-0.0223
"101928646",1.1703
"101928649",11.0949
"101928651",-2.673
"101928663",-1.2743
"101928673",3.2346
"101928682",-2.1407
"101928684",0.1085
"101928687",-2.8946
"101928689",7.5478
"101928694",0.1693
"101928697",1.0703
"101928700",-1.852
"101928708",-2.2114
"101928710",-1.4859
"101928716",-0.7736
"101928728",1.9281
"101928730",0.422
"101928741",-3.0702
"101928748",-1.8
"101928751",-3.0069
"101928770",-0.5199
"101928773",-2.2858
"101928778",-2.8453
"101928781",0.09995
"101928784",1.1049
"101928790",-0.2864
"101928795",1.1327
"101928797",-0.1772
"101928809",-1.1152
"101928813",-3.2733
"101928820",-2.1096
"101928823",-2.3872
"101928834",-3.3611
