"","GSE45899_MGG4.GBM_vs_Human.embryonic.NSC"
"101927360",-0.1817
"101927362",-1.4841
"101927363",0.0716
"101927377",-0.2345
"101927379",-0.0415
"101927380",-0.1285
"101927396",-0.3379
"101927406",-0.3068
"101927410",-0.8559
"101927411",-0.201
"101927416",-0.8408
"101927417",-0.0171
"101927422",-0.7039
"101927433",-0.4721
"101927438",-0.3916
"101927446",0.4209
"101927447",0.0471
"101927449",-0.4198
"101927450",-0.2904
"101927455",-0.509
"101927460",-0.8703
"101927482",0.4462
"101927489",-0.2367
"101927494",-0.1701
"101927495",-0.4707
"101927498",-0.0956
"101927503",-0.3734
"101927513",-1.6319
"101927516",-0.3483
"101927523",-0.1586
"101927526",-0.5244
"101927528",0.1809
"101927539",-0.6786
"101927543",0.1544
"101927547",0.5298
"101927550",0.4194
"101927553",-0.4398
"101927565",0.2693
"101927574",-0.5489
"101927581",-0.4779
"101927586",-0.9331
"101927587",0.0402
"101927588",-0.7805
"101927591",-0.2337
"101927592",-0.7638
"101927597",1.5323
"101927599",1.7626
"101927604",-1.3786
"101927606",-1.1296
"101927612",1.253
"101927616",-0.2085
"101927623",-1.0907
"101927640",-0.4588
"101927641",-0.4018
"101927650",-0.1442
"101927651",-0.415
"101927653",-0.3928
"101927657",0.0274
"101927659",-0.704
"101927668",0.0506
"101927682",-0.3026
"101927690",-0.2853
"101927701",-0.3977
"101927703",-1.289
"101927704",-0.0369
"101927709",0.1525
"101927715",-0.6557
"101927720",-0.9019
"101927722",-0.6717
"101927735",0.1471
"101927746",0.3025
"101927759",-0.2586
"101927761",-0.1307
"101927766",-0.6252
"101927768",-1.1306
"101927769",-0.384
"101927770",0.2286
"101927774",0.24785
"101927787",-0.9571
"101927797",-0.3235
"101927798",-0.4775
"101927808",0.198
"101927809",-0.444
"101927813",-0.0523
"101927814",-0.0436
"101927821",-0.3264
"101927828",-0.7305
"101927829",-0.0064
"101927839",-0.8114
"101927843",-0.2903
"101927849",-0.5915
"101927861",-0.0076
"101927869",-0.3781
"101927876",-0.0246
"101927877",-0.7215
"101927886",-0.5807
"101927889",-0.2612
"101927900",-0.4148
"101927901",-0.1284
"101927907",-0.3106
"101927914",-0.4097
"101927934",0.0207
"101927943",0.3016
"101927944",-0.42855
"101927948",-0.4959
"101927950",-1.2093
"101927953",0.4762
"101927978",0.3215
"101927988",1.2628
"101927990",-0.2591
"101927992",0.0429
"101928000",-0.00379999999999997
"101928001",0.15335
"101928002",-0.1258
"101928009",-0.3444
"101928012",0.0766
"101928020",-0.0227
"101928022",-0.6922
"101928031",-0.2992
"101928040",-1.0503
"101928043",-0.267
"101928052",0.0776
"101928068",-0.57225
"101928079",-0.40645
"101928087",-0.9628
"101928098",-0.1903
"101928099",-1.7852
"101928100",0.7777
"101928101",-0.4322
"101928104",-0.5589
"101928107",-0.9877
"101928111",0.5207
"101928120",-0.0213
"101928132",-1.3416
"101928134",-1.5566
"101928135",-0.4782
"101928140",0.2286
"101928144",-0.6458
"101928158",-1.0741
"101928160",-0.9907
"101928162",-0.1961
"101928165",-1.1538
"101928167",-0.0302
"101928185",-0.7069
"101928190",-0.6492
"101928191",0.3065
"101928200",-1.5865
"101928201",-0.3742
"101928205",-0.9883
"101928211",0.4063
"101928238",-0.15675
"101928243",-0.9353
"101928251",-0.4818
"101928259",0.2356
"101928269",-0.8744
"101928271",0.0065
"101928273",-0.2082
"101928276",-0.071
"101928280",-0.5462
"101928283",-0.1818
"101928284",-0.0314
"101928288",-2.0397
"101928298",-0.3708
"101928303",-0.4625
"101928306",-0.8465
"101928307",2.3329
"101928309",-0.2607
"101928314",0.14495
"101928324",-1.1793
"101928327",-0.7145
"101928333",-7e-04
"101928335",-0.7522
"101928370",-0.0807
"101928371",-0.3365
"101928376",-0.7534
"101928378",-0.536
"101928386",0.3475
"101928388",0.32375
"101928389",-0.2874
"101928399",-0.1784
"101928401",-0.0827
"101928403",1.7597
"101928405",-0.3589
"101928417",-0.3265
"101928418",0.2135
"101928420",-0.3925
"101928433",1.48225
"101928435",-2.0451
"101928443",-1.0136
"101928446",-0.8305
"101928449",-0.1954
"101928460",-0.1358
"101928461",-1.2535
"101928464",-0.1227
"101928475",-0.3396
"101928476",-0.8585
"101928478",-0.4119
"101928483",-0.894
"101928491",0.7493
"101928495",0.0673
"101928496",-0.0105
"101928505",0.0936
"101928510",-0.2478
"101928513",-0.8755
"101928516",-0.4455
"101928519",-0.3172
"101928521",-0.099
"101928525",-1.6782
"101928535",-0.00615
"101928537",-0.5018
"101928539",-0.2838
"101928551",0.13
"101928555",0.4615
"101928557",-0.6723
"101928559",0.1002
"101928565",-0.7909
"101928571",-0.3301
"101928578",0.5363
"101928580",-0.8455
"101928583",-0.121666666666667
"101928597",-0.3881
"101928602",-0.4894
"101928604",-0.1204
"101928605",-0.5386
"101928607",-1.063
"101928612",0.0422
"101928614",-1.0534
"101928616",0.141
"101928618",-0.0054
"101928622",-0.0033
"101928646",0.2774
"101928649",2.4472
"101928651",-0.47895
"101928663",-0.3623
"101928673",0.8643
"101928682",-0.4295
"101928684",0.0213
"101928687",-0.5347
"101928689",2.2409
"101928694",0.0284
"101928697",0.192
"101928700",-0.4382
"101928708",-0.7407
"101928710",-0.269
"101928716",-0.1438
"101928728",0.8289
"101928730",0.0714
"101928741",-0.7469
"101928748",-0.3619
"101928751",-0.6609
"101928770",-0.1106
"101928773",-0.5222
"101928778",-1.3994
"101928781",0.03315
"101928784",0.227033333333333
