"","GSE15209_G144.GBM_vs_Fetal.NSC","GSE15209_G174.AnaOlig_vs_Fetal.NSC"
"100506271",-0.7792,-0.91
"100506272",-0.2945,-0.5434
"100506274",-0.44005,-0.84375
"100506275",1.742,0.0203
"100506282",1.8056,-1.091
"100506286",0.2482,0.7438
"100506299",2.8707,1.7276
"100506311",3.68145,4.6607
"100506314",-0.7062,-0.1587
"100506319",1.1314,0.122
"100506325",3.5961,4.5629
"100506343",-0.3387,0.4882
"100506358",0.3232,1.5228
"100506365",2.10025,2.7021
"100506368",-1.7349,-0.9221
"100506371",-1.5192,-0.6505
"100506374",0.2527,0.3766
"100506380",-3.8038,-5.6254
"100506385",0.6153,0.9968
"100506388",-1.4172,0.5159
"100506403",-0.5562,0.4754
"100506406",2.564,3.0569
"100506409",-0.4006,-1.4229
"100506413",0.079,0.4797
"100506421",0.5806,-2.9208
"100506428",0.1726,-0.1803
"100506433",-1.0443,0.4226
"100506436",1.73285,1.5338
"100506443",-1.8747,-1.1829
"100506451",-0.0382,-0.017
"100506457",1.9213,2.0175
"100506462",-2.992,-1.5143
"100506465",-0.9012,0.338
"100506469",-3.0243,-0.7328
"100506470",-3.9445,-1.4966
"100506473",2.4778,1.7826
"100506475",-0.31675,0.80645
"100506492",0.3872,0.4228
"100506495",2.7608,2.2543
"100506498",-0.3855,-0.9285
"100506504",-1.7365,-2.9132
"100506526",-2.0501,-1.3674
"100506527",0.1314,0.4541
"100506530",-1.0393,0.2183
"100506540",-0.8327,-0.05165
"100506542",-0.9032,-1.1164
"100506555",1.5817,0.4739
"100506571",0.8584,-0.1119
"100506581",0.276533333333333,0.482266666666667
"100506585",-1.4026,0.4813
"100506599",-0.03085,-0.1763
"100506603",-1.3826,-0.3642
"100506622",0.3382,-0.7025
"100506649",-1.0562,-0.0582
"100506655",0.37535,-0.2249
"100506658",-0.358633333333333,-1.88956666666667
"100506660",-0.6389,1.7899
"100506668",-0.055,-2.0264
"100506677",-0.6833,-0.3973
"100506679",-2.0177,0.2728
"100506680",0.91135,0.18755
"100506681",-1.1722,1.272
"100506686",1.0554,3.7121
"100506696",0.6051,0.2569
"100506697",1.6147,2.1195
"100506710",2.3174,3.06263333333333
"100506713",4.1312,0.2787
"100506714",0.7385,1.7709
"100506724",-0.5134,1.6358
"100506730",-0.42405,-1.7932
"100506731",0.3837,1.506
"100506733",-0.9456,0.5102
"100506742",-2.7025,-1.1999
"100506753",3.4299,3.8487
"100506755",0.4973,-0.0932
"100506757",0.9258,1.5498
"100506765",-0.1989,-0.7767
"100506769",-1.1181,0.1068
"100506776",-0.2667,0.984
"100506779",-1.36325,-0.5228
"100506783",0.4973,1.3657
"100506790",-0.2214,1.1241
"100506791",-0.7322,-0.3452
"100506795",2.2689,1.7645
"100506797",-2.2804,0.2212
"100506815",-0.3907,-1.9923
"100506826",-0.0086,-0.4525
"100506827",0.1183,1.164
"100506834",1.0631,1.9565
"100506840",0.9898,0.40235
"100506844",0.7349,2.8575
"100506858",0.3467,0.9406
"100506860",0.9563,0.9384
"100506866",0.258,-1.1312
"100506874",-1.4494,1.4063
"100506885",-1.0713,-1.014
"100506895",-0.8106,1.3369
"100506897",-0.8597,-1.1596
"100506898",1.3089,1.0537
"100506907",-0.517666666666667,-0.950333333333333
"100506930",0.7053,1.8355
"100506939",0.405,-0.7051
"100506963",4.0814,3.7327
"100506965",-6.24955,-3.30845
"100506994",1.8484,2.0817
"100506999",0.5328,-0.0617
"100507006",-0.349,-2.2362
