"","GSE15209_G144.GBM_vs_Fetal.NSC","GSE15209_G174.AnaOlig_vs_Fetal.NSC"
"10044",-0.0827,0.13665
"10045",-0.0455,0.0558
"10046",-0.662,0.0805
"10047",-0.1046,0.0783
"10048",-0.2498,0.038325
"10049",0.0658,0.257266666666667
"100498859",-0.0829,0.049
"100499171",0.0409,0.0905
"100499177",1.0607,1.27
"100499466",0.06715,-0.513
"100499467",-0.58275,-0.27305
"1005",-0.00505,-0.108
"10050",-0.05435,0.03955
"100500850",1.5731,0.3496
"100500854",-0.215,-0.1052
"100505474",-0.0517,0.0186
"100505478",0.2726,0.2769
"100505483",0.0349,0.532
"100505495",-0.3096,-0.1141
"100505515",-0.0826,-0.0952
"100505518",-0.3362,-0.126
"100505534",-0.3579,-0.0556
"100505536",-0.09,0.1819
"100505538",1.1424,0.6799
"100505540",0.0891,0.0526
"100505545",0.0035,-0.013
"100505547",0.2541,0.1678
"100505555",0.1057,-0.118
"100505570",-0.0187,-0.0043
"100505573",-0.37755,0.3054
"100505576",-0.1584,-0.0063
"100505583",-0.3911,-0.112
"100505592",-0.2639,0.2302
"100505601",-0.1047,0.0177
"100505609",0.1017,0.15415
"100505616",0.1196,0.4445
"100505619",-0.1843,-0.1737
"100505621",-0.0839,-0.0853
"100505624",-0.12605,-0.0735
"100505633",0.37345,0.07765
"100505635",-0.1339,-0.1017
"100505641",-0.3237,-0.2962
"100505658",-0.0321,-0.0046
"100505659",-0.1206,-0.0488
"100505666",0.2208,0.1421
"100505676",-0.0823,-0.0098
"100505681",-0.1706,-0.0484
"100505683",-0.0778,0.0085
"100505685",0.1057,0.0225
"100505687",0.6698,0.4613
"100505696",0.2558,-0.1836
"100505702",1.1857,0.35
"100505715",-1.1153,-0.6477
"100505716",0.0072,0.0283
"100505718",0.021,0.0577
"100505738",-0.75665,0.3982
"100505741",-0.0316,-0.3846
"100505746",-0.04015,-0.1205
"100505758",-0.1851,-0.0548
"100505761",0.0616,0.074
"100505768",0.1875,0.1188
"100505774",-0.0352,0.1137
"100505776",-0.1421,-0.0972
"100505782",-0.129,-0.0848
"100505783",-0.2813,0.1477
"100505806",0.1158,0.2085
"100505811",-0.0503,0.0238
"100505812",-0.4307,0.4633
"100505824",0.1288,0.0058
"100505826",0.1848,-0.0102
"100505832",-0.1952,-0.0055
"100505835",0.0458,0.1669
"100505839",0.0685,0.0823
"100505841",0.0226,0.1069
"100505851",0.0726,0.03635
"100505853",-0.1309,-0.0905
"100505854",0.4354,0.76055
"100505865",-0.5169,0.3504
"100505875",0.0339,0.0147
"100505876",0.436066666666667,0.736166666666667
"100505877",0.0381,0.0703
"100505878",-0.0239,0.0252
"100505879",-0.05015,-0.02215
"100505881",0.396033333333333,0.3382
"100505890",-0.133,0.0486
"100505893",-0.3876,-0.218
"100505894",0.52215,-0.6125
"100505912",0.1906,0.0141
"100505918",-0.0322,0.0691
"100505920",-0.0241,0.0823
"100505929",-0.2593,0.0502
"100505933",-0.15865,0.0398
"100505942",0.3079,0.2666
"100505964",-0.0208,0.0146
"100505967",-1.2139,-1.0456
"100505975",0.2905,0.1516
"100505978",-0.1395,0.0283
"100505984",-0.0594,0.0788
"100505989",0.0069,0.6136
"100506012",-0.1897,0.1405
"100506013",1.9691,0.0197
"100506016",-0.1444,-0.1381
"100506022",-0.1287,-0.2102
"100506025",-0.04085,0.03805
"100506046",-0.1727,-0.2834
"100506047",0.1173,0.2523
"100506049",-0.3545,-0.0177
"100506050",-0.2233,-0.1178
"100506054",0.1752,-0.1523
"100506068",-0.3206,-0.1017
"100506070",-0.0611,0.0036
"100506071",-0.1202,-0.028
"100506076",0.3613,-0.1844
"100506082",0.048,0.0152
"100506084",-0.2004,-0.0304
"100506107",-0.103,0.085
"100506108",-0.0133,0.2027
"100506113",0.1253,0.1705
"100506115",-0.133,-0.0604
"100506119",0.9806,0.5608
"100506122",0.0546,0.1113
"100506124",0.439,0.0543
"100506125",-0.4704,-0.2253
"100506126",-0.0172,0.1507
"100506127",-0.155066666666667,-0.1765
"100506142",0.02135,0.01845
"100506144",1.7546,1.3173
"100506161",0.4271,0.2559
"100506172",0.0296,0.005
"100506175",-0.2407,-0.043
"100506190",0.9265,0.0663
"100506195",-0.06915,-0.01445
"100506207",-0.10525,-0.0052
"100506211",1.21575,0.6515
"100506215",-0.10935,-0.21265
"100506229",0.0638,0.0647
"100506233",0.10745,-0.1629
"100506237",-0.0982,-0.1681
"100506243",1.4563,-0.3229
"100506271",-0.1032,-0.0844
"100506272",-0.0246,-0.0318
"100506274",-0.04725,-0.07055
"100506275",0.2228,0.0018
"100506282",0.3885,-0.1643
"100506286",0.0254,0.0532
"100506299",0.5604,0.236
