"","GSE75147_G166.GBM_vs_Fetal.NSC","GSE75147_GSC-0827.GBM_vs_Fetal.NSC"
"1066",-0.39,1.8269
"1069",-2.1849,-3.0696
"1070",1.6179,1.9497
"1072",-1.8918,-1.1925
"1073",-4.1462,-1.0096
"1075",-10.8285,-8.3874
"1101",2.2709,4.6491
"1102",-7.9631,-7.9541
"1104",4.2487,4.7471
"1105",0.4629,-1.588
"1106",-6.2725,-3.5279
"1107",-9.5634,-6.8035
"1108",5.0331,1.3725
"1111",-1.6699,0.9284
"1112",-4.469,4.0191
"1113",4.9384,-1.0883
"1114",6.1305,0.7335
"1116",5.0931,1.0745
"1117",10.2282,-1.7672
"1119",-2.4345,0.9651
"1120",-1.0847,-3.8501
"1121",1.9191,0.3268
"1122",0.5827,-2.9726
"1123",-21.0629,-17.3609
"1124",-14.5158,-16.4597
"1128",10.3604,1.8047
"1130",1.2535,8.2152
"1131",-12.6595,-16.112
"1132",-3.36,-2.8556
"1133",1.3586,-0.5936
"1134",-15.0464,-20.5181
"1136",6.0278,0.2083
"1138",6.0995,-0.026
"1139",-9.2784,-8.5224
"1140",-8.7189,1.306
"1141",3.862,0.1202
"1143",7.5222,1.1841
"1145",-0.4059,-0.0326
"1146",5.1362,-2.3306
"1147",0.2066,-1.8769
"1152",6.8491,3.1229
"1153",-0.8253,0.7624
"1154",3.5193,-0.1589
"1155",2.0585,0.7924
"1159",0.2283,-1.092
"1160",-0.8282,-3.4752
"1161",0.3371,-2.5988
"1163",1.9988,4.3928
"1164",3.2973,4.8966
"1173",-0.8473,2.4386
"1174",5.4108,-0.4036
"1175",1.2008,2.0434
"1176",-7.7787,-3.7251
"1180",2.0883,0.9955
"1181",11.9287,6.856
"1182",-0.5016,-1.2584
"1183",7.8021,7.7951
"1184",4.5929,-1.9949
"1185",-2.8672,-1.6244
"1186",6.2326,2.8382
"1187",1.619,1.6479
"1188",-2.5549,-1.9067
"1191",1.2786,-3.8302
"1192",-0.2726,2.4125
"1193",-10.1225,-6.1661
"1195",-8.1902,-5.4039
"1196",3.3419,3.8732
"1198",2.6932,3.1333
"1200",-6.244,-1.4358
"1201",5.8487,3.0185
"1203",-7.4115,-5.9561
"1207",2.4169,-1.3275
"1209",2.2714,4.179
"1211",4.2094,0.6873
"1212",-0.8481,2.981
"1213",-4.4561,1.0992
"1230",1.1856,0.676
"1235",-0.7002,1.9047
"1238",1.3073,2.2814
"1240",1.656,-0.6439
"1241",5.9701,2.5375
"1244",-5.9212,-0.238
"1259",-0.6721,3.7976
"1262",1.5215,1.0793
"1263",-1.8298,0.1796
"1264",-10.2535,-9.3725
"1265",-6.1675,-3.9236
"1266",-13.0844,0.5311
"1267",3.0377,2.7596
"1268",-0.0627,2.9706
"1270",-3.9116,-2.7842
"1271",9.9704,0.5124
"1272",-3.397,9.5422
"1277",-24.0969,-3.0821
"1278",-20.2104,-12.4559
"1280",-7.5703,-11.2255
"1281",-23.7356,-29.7973
"1282",-2.939,-1.969
"1284",0.4783,1.1065
"1285",1.9773,7.7921
"1286",-0.1667,6.3726
"1287",-8.6038,-0.429
"1288",-5.9698,0.4265
"1289",-18.3363,-20.3499
"1290",-17.8546,-5.7747
"1291",-3.9443,-7.288
"1292",-16.7004,-11.5442
"1293",-21.2474,-24.7843
"1294",-1.5522,2.6988
"1295",-19.6248,-13.6413
"1296",-6.6263,-1.9725
"1297",5.0425,3.7817
"1298",1.3034,0.1758
"1299",3.8002,-6.3716
"1300",-8.6642,-9.87
"1301",-19.7632,7.5105
"1302",-0.699,1.2659
"1303",-14.417,-14.4269
"1305",-9.0764,-10.6246
"1306",2.0272,-1.9169
"1307",6.2359,-6.6001
"1308",-4.9962,-0.2847
"1310",7.6789,8.7348
"1312",1.9266,2.7069
"1314",-5.4174,-3.4381
"1315",-8.7062,-1.3921
"1316",-9.6405,-9.8008
"1317",2.6135,1.8539
"1318",-0.5232,3.0817
"1325",1.5108,-0.1986
"1326",-2.0823,-6.6863
"1327",5.8722,4.677
"1329",7.0244,2.5407
"1337",3.8863,6.7668
"1340",0.9186,2.2357
"1345",4.4211,4.3726
"1347",1.2555,6.6364
"1349",3.9383,6.5588
"1350",3.7785,8.3108
"1351",3.5317,5.7095
"1352",4.4774,2.542
"1353",0.5505,0.8274
"1355",3.2535,0.6139
"1356",-0.5155,-6.8177
"1358",-3.1354,1.415
"1360",3.2395,3.2228
"1361",0.1642,-0.0777
"1362",-3.7014,0.4915
"1363",-4.6207,-1.0995
"1364",6.6908,8.788
"1365",3.1149,7.7434
"1366",-5.2706,-3.9802
"1368",-0.4745,3.0915
"1371",4.7362,5.2809
"1373",2.151,-4.2863
"1374",-4.1604,0.4062
"1375",2.1201,-1.771
"1376",2.7906,6.9748
"1381",-4.86,-7.7251
"1382",-15.7873,-16.735
"1384",-0.4626,3.2177
"1385",-3.0517,-3.1343
"1386",-6.6584,-5.8712
"1387",3.6045,-1.6187
"1388",-2.9302,3.5487
"1389",-3.4917,1.458
"1390",-0.2821,0.3061
"1393",-17.6543,-20.4329
"1395",1.8593,1.2052
"1396",-9.0831,-11.355
"1397",2.9615,-2.8105
"1398",0.1302,-2.0357
"1399",4.6974,-0.8725
"1400",2.6618,-10.2738
"1404",-5.6709,5.9076
"1406",1.6428,2.1958
"1407",4.3058,0.6131
"1408",-4.2132,-0.9644
"1410",2.4714,5.0143
"1411",1.1097,-0.126
"1412",1.2622,3.1894
"1413",-2.008,-1.8233
"1414",-3.8009,-6.3869
"1415",2.0255,2.6988
"1416",1.304,2.0107
"1417",2.5925,1.804
"1427",1.9935,3.7672
"1429",-5.3927,-5.6478
"1431",3.8474,3.7361
"1432",0.0817,3.1359
"1434",2.7154,1.5446
"1435",0.6971,4.1891
"1436",4.5667,1.3842
"1438",1.6997,4.6592
"1440",-0.7933,1.8411
"1445",9.79,1.3315
"1452",-1.884,-0.0456
"1453",0.7092,3.5292
"1454",6.8064,2.527
"1455",5.0155,2.9274
"1456",-2.698,-1.3689
"1457",3.9638,2.2308
"1459",2.863,-2.0609
"1460",3.7764,4.2074
"1462",-8.5189,-9.9464
"1463",17.119,0.866
"1464",3.9651,-11.3652
"1465",-0.4621,2.4722
"1466",-11.9508,-2.858
"1468",9.3627,11.4835
"1471",2.5945,4.2445
"1474",0.1656,-1.04
"1475",0.2341,1.7154
"1476",-2.859,-2.4812
"1477",2.1651,0.8686
"1478",6.8289,5.1717
"1479",-0.7581,2.0492
"1482",10.4847,9.5869
"1485",0.7689,4.9256
"1486",-8.4427,0.8024
"1487",5.4212,6.8476
"1488",2.6859,-1.3126
"1489",-0.0849,-2.8253
"1490",-19.6484,1.4783
"1491",-1.1155,5.5954
"1495",-3.4181,2.6819
"1496",-1.0736,2.3039
"1497",3.874,0.2987
"1499",-1.7669,0.2683
"1500",-8.2461,-4.1767
"1501",-7.4038,0.7728
"1503",1.2576,5.7392
"1504",-1.533,-1.0376
"1506",0.7769,-2.325
"1508",-3.1138,-3.8444
"1509",1.9246,11.0287
"1510",1.9009,6.0186
"1512",0.2928,0.7863
"1513",-4.7229,-2.2453
"1514",1.291,2.0872
"1515",2.4119,1.3383
"1519",-11.7137,-3.9632
"1520",-14.4183,-13.723
"1521",0.1288,0.202
"1522",1.0544,5.5114
"1523",2.6136,-3.3713
"1524",-0.8669,-1.3531
"1525",1.0029,-1.974
"1528",-1.7035,-3.4052
"1534",1.4315,1.5116
"1535",8.1987,-1.6503
"1537",10.1156,6.4683
"1540",-12.5128,-5.1979
"1543",-3.5485,-3.6702
"1545",-14.3411,-11.7515
"1548",-0.4404,-1.7975
"1549",-2.0955,-1.7569
"1551",-0.5929,-0.2989
"1556",-5.8248,-4.5158
"1557",0.2493,1.9325
"1558",-1.1374,7.0477
"1562",-0.1118,1.898
"1564",1.4071,-0.0568
"1565",1.3474,-0.6562
"1571",-5.5879,-2.472
"1572",-1.6359,-2.2409
"1573",0.3079,9.0612
"1577",2.2495,-1.7081
"1581",-1.1858,0.057
"1586",-0.9256,-0.8838
"1588",5.9938,1.3318
"1590",-1.1742,-1.05
"1591",0.2631,8.0373
"1592",-4.5275,0.1208
"1593",-4.4997,8.3492
"1594",3.4203,0.5367
"1595",-4.6137,-1.3793
"1600",-5.9899,-3.9391
"1601",-16.2644,-19.5468
"1602",-13.6459,-1.186
"1603",3.4303,2.5697
"1604",-5.4712,0.0974
"1605",0.8895,4.3286
"1606",-7.4526,-2.9734
"1607",-5.4102,-2.703
"1608",6.3072,7.9765
"1609",3.0654,2.9708
"1611",-4.7216,-1.3735
"1612",-8.1128,-12.5655
"1613",-0.2059,1.2994
"1615",0.5088,-0.1811
"1616",4.5633,3.6351
"1620",-2.9605,-0.9756
"1621",2.7899,-2.177
"1622",3.8803,-2.682
"1627",6.6328,1.235
"1628",0.9117,5.5741
"1629",-2.3205,2.2901
"1630",-2.2758,-0.4866
"1632",1.3477,3.6418
"1633",0.0646,2.6187
"1634",8.9634,-8.0169
"1635",-1.1191,1.9644
"1636",-4.7531,-5.4323
"1638",0.962,1.6052
"1639",2.0702,-3.1049
"1641",3.8801,-0.7051
"1642",-1.6649,-3.9926
"1643",-1.6868,-3.91
"1644",6.2409,2.6936
"1645",-5.5353,-4.0305
"1646",-4.9484,-1.0365
"1647",-2.885,3.125
"1649",-1.3463,4.5885
"1650",-1.1747,3.7816
"1652",5.3897,5.4538
"1653",0.2176,-3.2242
"1654",1.696,1.997
"1655",-2.2415,-2.9868
"1656",-3.0387,-4.5293
"1657",-5.5595,2.2552
"1659",1.0253,2.0636
"1660",2.654,0.6302
"1662",4.3227,1.531
"1663",10.4479,8.7427
"1665",2.249,3.5353
"1666",-3.1638,-2.8953
"1674",6.2252,-8.562
"1675",0.4803,-0.3402
"1676",3.014,6.2874
"1677",4.1798,2.6368
"1678",7.2614,5.0073
"1687",-6.3965,0.7767
"1690",-2.2162,-3.2023
"1716",1.1963,-0.1978
"1717",-1.2996,3.3567
"1718",-7.6391,1.8273
"1719",-0.6735,0.1916
"1723",8.1636,4.7922
"1725",2.1012,3.3505
"1727",0.7886,3.7036
"1728",-5.7203,-5.4322
"1729",-2.1635,3.7205
