"","GSE75147_G166.GBM_vs_Fetal.NSC","GSE75147_GSC-0827.GBM_vs_Fetal.NSC"
"834",-10.1321,-3.7719
"835",1.4102,0.8374
"836",-0.4978,-1.0441
"837",-11.1158,-0.9208
"838",-1.2311,0.8435
"839",-2.988,-0.4938
"840",-1.165,-0.6224
"841",-0.6219,-0.39
"842",-0.4724,1.157
"843",-4.1041,1.6175
"844",-2.8604,-5.0996
"845",-5.4841,-0.7313
"847",-0.1618,1.0001
"857",-6.2069,-2.0402
"858",-4.287,-0.5281
"860",-7.6974,-0.4654
"861",-1.1456,0.6371
"862",-9.2297,-2.7967
"863",-5.0348,-4.9493
"864",2.3161,3.8267
"865",0.8447,0.43
"867",-0.5489,-0.5129
"868",-1.6567,-1.7208
"869",11.2757,-0.3296
"871",-1.6796,-1.7533
"873",0.4853,0.9216
"874",-2.8328,-0.5529
"875",0.8249,0.4791
"881",0.0866,-2.3873
"883",0.4798,1.4074
"889",0.4047,0.1375
"890",0.2634,0.8333
"891",0.8126,1.109
"892",-0.4831,-0.1622
"894",0.3858,-7.6395
"896",0.5251,2.1747
"898",2.6785,2.9129
"899",1.8101,1.2389
"900",-0.8115,-1.8693
"901",-1.6896,-0.3417
"902",0.5859,0.2498
"904",0.4536,0.2826
"905",-0.3453,-0.7987
"908",1.1148,0.8885
"912",-2.9446,-2.3408
"919",1.1911,0.0043
"920",1.0474,-3.8095
"921",-0.5643,-2.6369
"922",-2.466,-2.9453
"924",2.7212,2.1769
"925",1.1032,0.6016
"928",3.3171,3.6657
"929",1.2593,3.5654
"933",3.3912,3.1694
"939",1.3484,1.7325
"941",1.4289,0.5659
"943",2.7067,0.2018
"945",4.4617,0.8116
"947",-8.8482,0.8078
"948",-3.9565,-2.7647
"949",2.2462,1.462
"950",-0.6496,-0.2346
"951",0.8448,-1.033
"952",-7.3942,-1.7478
"953",2.2288,0.1182
"954",-3.1794,-1.2167
"955",1.4182,2.1565
"956",-3.0712,5.865
"957",0.3556,-0.5389
"958",-0.5852,-8.8625
"960",-1.824,0.9726
"961",-2.4188,-1.2096
"963",-0.5742,-0.7887
"965",0.8076,2.2078
"966",-2.6846,-0.9165
"967",-0.7839,0.8482
"968",-1.3365,1.3623
"970",-1.6479,2.1336
"971",3.5514,4.8094
"972",-5.7598,-0.8403
"973",2.0311,0.3837
"975",-0.0944,0.0302
"976",1.8258,1.9275
"977",-0.9328,1.4006
"978",2.0275,2.3064
"983",-0.6593,0.1901
"984",0.3268,1.1583
"987",-1.2415,-0.2107
"988",0.1254,0.4024
"989",-0.9889,-0.3719
"990",0.5874,0.9204
"991",0.4605,1.9025
"993",1.6232,1.4687
"994",0.0644,-0.228
"995",-0.5184,0.2186
"996",-0.51,-0.0285
"997",0.7176,0.8952
"998",-1.6102,-0.0735
"999",-9.683,-6.2613
"1000",-0.3897,-1.3033
"1001",-11.5885,-4.5302
"1002",-1.1586,-1.5725
"1003",-7.6349,-7.1609
"1004",5.2417,0.5198
"1006",1.3416,4.9788
"1008",-11.154,-3.8746
"1009",-7.9123,-5.7409
"1010",-1.2776,5.3702
"1012",-10.8134,-2.3642
"1013",4.6246,0.2448
"1016",-7.5224,-4.4547
"1017",0.6709,1.1489
"1018",0.5645,-0.4592
"1019",1.1339,0.4341
"1020",1.7364,0.8534
"1021",-5.0167,-0.6531
"1022",0.0433,-0.2489
"1024",0.6761,0.225
"1025",-0.0266,0.3006
"1026",-0.662,-1.2152
"1027",-0.3566,0.1158
"1028",1.5171,1.6906
"1029",0.8814,5.7472
"1030",-3.6531,1.6589
"1031",-2.048,1.299
"1032",-2.342,0.3882
"1033",-1.4613,0.7226
"1036",-9.4002,-0.5478
"1038",0.765,-0.2734
"1039",0.3695,-1.0024
